Pollen,Year,Temperature,Precipitation,Minimum Ozone,Bee Colonies,Wildfires,Length of Pollen Season,Grass,Weed
Tree Pollen,1993,51.38,32.58,112.6,2866000,58810,22,0,0
Tree Pollen,1994,51.46,31.14,92.3,2777000,79107,19,0,0
Tree Pollen,1995,53.54,31.64,132.175,2647000,82234,8,0,0
Tree Pollen,1996,51.87,31.87,108.8,2574000,96363,8,0,0
Tree Pollen,1997,52.41,34.39,108.8,2617000,66196,16,0,0
Tree Pollen,1998,52.57,34.13,98.8,2621000,81043,41,0,0
Tree Pollen,1999,54.32,31.22,102.9,2637000,92487,29,0,0
Tree Pollen,2000,54.15,27.93,98.7,2604000,92250,17,0,0
Tree Pollen,2001,52.22,28.15,100.9,2542000,84079,17,0,0
Tree Pollen,2002,53.99,28.31,157.4,2565000,73457,22,0,0
Tree Pollen,2003,53.08,29.51,108.7,2591000,63629,30,0,0
Tree Pollen,2004,53.46,30.56,123.5,2539000,65461,28,0,0
Tree Pollen,2005,53.29,33.92,113.8,2394000,66753,24,0,0
Tree Pollen,2006,53.87,29.42,98.4,2378000,96385,21,0,0
Tree Pollen,2007,53.84,29.67,116.2,2428000,85705,21,0,0
Tree Pollen,2008,53.27,30.09,114,2326000,78979,32,0,0
Tree Pollen,2009,52.62,29.89,107.9,2472000,78792,31,0,0
Tree Pollen,2010,52,33.38,128.5,2666000,71971,40,0,0
Tree Pollen,2011,52.97,30.98,106.5,2466000,74126,47,0,0
Tree Pollen,2012,54.7,30.37,139.3,2509000,67774,49,0,0
Tree Pollen,2013,53.94,26.83,132.7,2607000,47579,42,0,0
Tree Pollen,2014,52.03,30.94,128.6,2709000,63312,52,0,0
Tree Pollen,2015,53.23,30.56,117.2,32221630,68151,66,0,0
Grass Pollen,1993,51.38,32.58,112.6,2866000,58810,52,1,0
Grass Pollen,1994,51.46,31.14,92.3,2777000,79107,44,1,0
Grass Pollen,1995,53.54,31.64,132.175,2647000,82234,66,1,0
Grass Pollen,1996,51.87,31.87,108.8,2574000,96363,37,1,0
Grass Pollen,1997,52.41,34.39,108.8,2617000,66196,33,1,0
Grass Pollen,1998,52.57,34.13,98.8,2621000,81043,51,1,0
Grass Pollen,1999,54.32,31.22,102.9,2637000,92487,64,1,0
Grass Pollen,2000,54.15,27.93,98.7,2604000,92250,49,1,0
Grass Pollen,2001,52.22,28.15,100.9,2542000,84079,39,1,0
Grass Pollen,2002,53.99,28.31,157.4,2565000,73457,81,1,0
Grass Pollen,2003,53.08,29.51,108.7,2591000,63629,65,1,0
Grass Pollen,2004,53.46,30.56,123.5,2539000,65461,89,1,0
Grass Pollen,2005,53.29,33.92,113.8,2394000,66753,108,1,0
Grass Pollen,2006,53.87,29.42,98.4,2378000,96385,78,1,0
Grass Pollen,2007,53.84,29.67,116.2,2428000,85705,69,1,0
Grass Pollen,2008,53.27,30.09,114,2326000,78979,42,1,0
Grass Pollen,2009,52.62,29.89,107.9,2472000,78792,56,1,0
Grass Pollen,2010,52,33.38,128.5,2666000,71971,87,1,0
Grass Pollen,2011,52.97,30.98,106.5,2466000,74126,68,1,0
Grass Pollen,2012,54.7,30.37,139.3,2509000,67774,69,1,0
Grass Pollen,2013,53.94,26.83,132.7,2607000,47579,76,1,0
Grass Pollen,2014,52.03,30.94,128.6,2709000,63312,68,1,0
Grass Pollen,2015,53.23,30.56,117.2,32221630,68151,96,1,0
Weed Pollen,1993,51.38,32.58,112.6,2866000,58810,71,0,1
Weed Pollen,1994,51.46,31.14,92.3,2777000,79107,71,0,1
Weed Pollen,1995,53.54,31.64,132.175,2647000,82234,114,0,1
Weed Pollen,1996,51.87,31.87,108.8,2574000,96363,61,0,1
Weed Pollen,1997,52.41,34.39,108.8,2617000,66196,93,0,1
Weed Pollen,1998,52.57,34.13,98.8,2621000,81043,86,0,1
Weed Pollen,1999,54.32,31.22,102.9,2637000,92487,145,0,1
Weed Pollen,2000,54.15,27.93,98.7,2604000,92250,89,0,1
Weed Pollen,2001,52.22,28.15,100.9,2542000,84079,40,0,1
Weed Pollen,2002,53.99,28.31,157.4,2565000,73457,75,0,1
Weed Pollen,2003,53.08,29.51,108.7,2591000,63629,77,0,1
Weed Pollen,2004,53.46,30.56,123.5,2539000,65461,57,0,1
Weed Pollen,2005,53.29,33.92,113.8,2394000,66753,75,0,1
Weed Pollen,2006,53.87,29.42,98.4,2378000,96385,91,0,1
Weed Pollen,2007,53.84,29.67,116.2,2428000,85705,69,0,1
Weed Pollen,2008,53.27,30.09,114,2326000,78979,64,0,1
Weed Pollen,2009,52.62,29.89,107.9,2472000,78792,76,0,1
Weed Pollen,2010,52,33.38,128.5,2666000,71971,69,0,1
Weed Pollen,2011,52.97,30.98,106.5,2466000,74126,95,0,1
Weed Pollen,2012,54.7,30.37,139.3,2509000,67774,80,0,1
Weed Pollen,2013,53.94,26.83,132.7,2607000,47579,74,0,1
Weed Pollen,2014,52.03,30.94,128.6,2709000,63312,63,0,1
Weed Pollen,2015,53.23,30.56,117.2,32221630,68151,54,0,1
